,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ref_accel_x,ref_accel_y,ref_accel_z,ref_gyro_x,ref_gyro_y,ref_gyro_z,stage,stamp
0,-0.08635606770085283,-0.07525611130029618,-9.599692259144197,0.000959931088596881,0.000959931088596881,0.07714355293814935,0.0,0.0,-9.794216470399356,0.0,0.0,0.07853981633974481,rotate_z_pos,0.0
1,-0.09529117156692536,-0.07910748171436438,-9.585639764914248,0.0016667894356545846,0.0016667894356545846,0.1464156709498043,0.0,0.0,-9.794216470399356,0.0,0.0,0.14922565104551516,rotate_z_pos,0.01
2,-0.10112318665457987,-0.07263710380815602,-9.580501394626983,0.0023029619480065175,0.0023029619480065175,0.2087605771602937,0.0,0.0,-9.794216470399356,0.0,0.0,0.21284290228070846,rotate_z_pos,0.02
3,-0.0980921648067756,-0.09058319464351491,-9.586448225395023,0.002875517209123257,0.002875517209123257,0.2648709927497342,0.0,0.0,-9.794216470399356,0.0,0.0,0.2700984283923824,rotate_z_pos,0.03
4,-0.09704259130850812,-0.0832176448808624,-9.603047075717123,0.003390816944128323,0.003390816944128323,0.3153703667802306,0.0,0.0,-9.794216470399356,0.0,0.0,0.321628401892889,rotate_z_pos,0.04
5,-0.08572134417252313,-0.10219442592848654,-9.587250750132673,0.0038545867056328825,0.0038545867056328825,0.36081980340767744,0.0,0.0,-9.794216470399356,0.0,0.0,0.36800537804334493,rotate_z_pos,0.05
6,-0.0737974006158539,-0.09849384323821073,-9.59149992047994,0.004271979490986986,0.004271979490986986,0.40172429637237955,0.0,0.0,-9.794216470399356,0.0,0.0,0.40974465657875525,rotate_z_pos,0.06
7,-0.07760326946895121,-0.08715403524448281,-9.583343816822216,0.004647632997805679,0.004647632997805679,0.4385383400406115,0.0,0.0,-9.794216470399356,0.0,0.0,0.4473100072606246,rotate_z_pos,0.07
8,-0.09419185704093863,-0.08834866598437081,-9.591564608194732,0.004985721153942503,0.004985721153942503,0.47167097934202024,0.0,0.0,-9.794216470399356,0.0,0.0,0.48111882287430696,rotate_z_pos,0.08
9,-0.07921973470000578,-0.08667665143603545,-9.582543633605972,0.005290000494465643,0.005290000494465643,0.5014903547132881,0.0,0.0,-9.794216470399356,0.0,0.0,0.5115467569266211,rotate_z_pos,0.09
10,-0.07629378770702226,-0.08345496673576216,-9.57747796331375,0.005563851900936471,0.005563851900936471,0.5283277925474292,0.0,0.0,-9.794216470399356,0.0,0.0,0.5389318975737039,rotate_z_pos,0.1
11,-0.09202221895804774,-0.07745511598592733,-9.58564042608728,0.005810318166760215,0.005810318166760215,0.5524814865981561,0.0,0.0,-9.794216470399356,0.0,0.0,0.5635785241560782,rotate_z_pos,0.11
12,-0.08492591688944164,-0.0918972565621365,-9.586000500033308,0.006032137806001587,0.006032137806001587,0.5742198112438104,0.0,0.0,-9.794216470399356,0.0,0.0,0.5857604880802153,rotate_z_pos,0.12
13,-0.09869374317242899,-0.08862089833493132,-9.580096842207835,0.00623177548131882,0.00623177548131882,0.5937843034248993,0.0,0.0,-9.794216470399356,0.0,0.0,0.6057242556119387,rotate_z_pos,0.13
14,-0.0877114419983994,-0.08864929479110444,-9.597299344868686,0.00641144938910433,0.00641144938910433,0.6113923463878793,0.0,0.0,-9.794216470399356,0.0,0.0,0.6236916463904897,rotate_z_pos,0.14
